month,gpr,gprt,gpra,gprh,gprht,gprha,share_gpr,n10,share_gprh,n3h,gprh_noew,gpr_noew,gprh_and,gpr_and,gprh_basic,gpr_basic,shareh_cat_1,shareh_cat_2,shareh_cat_3,shareh_cat_4,shareh_cat_5,shareh_cat_6,shareh_cat_7,shareh_cat_8,gprc_arg,gprc_aus,gprc_bel,gprc_bra,gprc_can,gprc_che,gprc_chl,gprc_chn,gprc_col,gprc_deu,gprc_dnk,gprc_egy,gprc_esp,gprc_fin,gprc_fra,gprc_gbr,gprc_hkg,gprc_hun,gprc_idn,gprc_ind,gprc_isr,gprc_ita,gprc_jpn,gprc_kor,gprc_mex,gprc_mys,gprc_nld,gprc_nor,gprc_per,gprc_phl,gprc_pol,gprc_prt,gprc_rus,gprc_sau,gprc_swe,gprc_tha,gprc_tun,gprc_tur,gprc_twn,gprc_ukr,gprc_usa,gprc_ven,gprc_vnm,gprc_zaf,gprhc_arg,gprhc_aus,gprhc_bel,gprhc_bra,gprhc_can,gprhc_che,gprhc_chl,gprhc_chn,gprhc_col,gprhc_deu,gprhc_dnk,gprhc_egy,gprhc_esp,gprhc_fin,gprhc_fra,gprhc_gbr,gprhc_hkg,gprhc_hun,gprhc_idn,gprhc_ind,gprhc_isr,gprhc_ita,gprhc_jpn,gprhc_kor,gprhc_mex,gprhc_mys,gprhc_nld,gprhc_nor,gprhc_per,gprhc_phl,gprhc_pol,gprhc_prt,gprhc_rus,gprhc_sau,gprhc_swe,gprhc_tha,gprhc_tun,gprhc_tur,gprhc_twn,gprhc_ukr,gprhc_usa,gprhc_ven,gprhc_vnm,gprhc_zaf,var_name,var_label,date,gpr_mom_pct,gpr_yoy_pct,gpr_3m_ma,gpr_percentile
2025-03-01,174.11,194.02,158.23,119.59,143.99,120.67,5.22,16870.0,4.31,8623,164.99,129.84,96.29,119.61,224.89,197.11,0.66,0.06,1.81,0.36,0.15,1.84,0.61,0.36,0.02,0.17,0.39,0.09,0.95,0.08,0.01,1.08,0.05,0.94,0.17,0.43,0.12,0.17,1.32,2.52,0.13,0.14,0.05,0.24,1.2,0.39,0.29,0.39,0.43,0.03,0.11,0.16,0.04,0.02,0.39,0.04,2.46,0.79,0.14,0.09,0.01,0.34,0.17,2.23,4.46,0.18,0.07,0.08,0.0,0.1,0.22,0.05,0.31,0.05,0.0,0.65,0.0,0.53,0.05,0.34,0.07,0.06,0.71,0.85,0.03,0.08,0.02,0.14,0.89,0.15,0.1,0.36,0.17,0.03,0.05,0.06,0.05,0.01,0.2,0.05,1.44,0.58,0.08,0.06,0.0,0.19,0.12,1.32,2.96,0.17,0.06,0.02,,,2025-03-01,27.11,30.7,141.44,95.77
2025-04-01,140.97,159.26,132.06,111.29,144.29,106.61,4.23,16484.0,4.01,8419,161.8,115.62,88.56,116.33,230.72,174.69,0.58,0.05,1.95,0.46,0.12,1.24,0.52,0.48,0.04,0.1,0.27,0.1,0.39,0.08,0.01,1.06,0.03,0.61,0.08,0.24,0.08,0.08,0.76,1.51,0.07,0.12,0.08,0.42,1.12,0.41,0.32,0.32,0.22,0.05,0.08,0.12,0.02,0.05,0.11,0.01,1.52,0.26,0.08,0.08,0.0,0.27,0.13,1.29,3.52,0.18,0.16,0.12,0.04,0.05,0.21,0.12,0.19,0.05,0.0,0.69,0.04,0.37,0.07,0.12,0.07,0.08,0.64,0.61,0.01,0.15,0.05,0.39,0.88,0.33,0.21,0.2,0.2,0.07,0.06,0.07,0.04,0.06,0.07,0.0,1.12,0.26,0.06,0.1,0.0,0.33,0.12,0.82,2.91,0.19,0.14,0.06,,,2025-04-01,-19.03,-14.01,150.69,88.71
2025-05-01,166.05,203.88,149.21,128.91,188.27,107.88,4.98,17087.0,4.65,8365,170.42,127.3,87.91,112.07,222.5,168.7,0.96,0.06,2.52,0.53,0.13,1.26,0.26,0.75,0.05,0.18,0.22,0.07,0.74,0.15,0.02,1.13,0.04,0.67,0.08,0.29,0.19,0.08,1.02,2.0,0.1,0.05,0.09,0.76,1.9,0.36,0.17,0.32,0.19,0.03,0.09,0.09,0.03,0.04,0.19,0.02,1.49,0.7,0.2,0.04,0.02,0.69,0.21,1.39,4.11,0.19,0.1,0.09,0.01,0.14,0.1,0.06,0.35,0.08,0.01,0.68,0.06,0.45,0.07,0.17,0.17,0.02,0.77,0.74,0.06,0.02,0.04,0.6,1.29,0.27,0.1,0.27,0.22,0.05,0.04,0.08,0.01,0.04,0.04,0.02,1.04,0.59,0.05,0.05,0.02,0.57,0.12,0.96,3.37,0.31,0.14,0.08,,,2025-05-01,17.79,27.22,160.38,94.96
2025-06-01,221.13,286.44,182.07,156.37,237.55,122.95,6.63,16087.0,5.64,7942,202.73,162.47,93.58,122.84,225.77,191.56,0.93,0.03,2.58,2.01,0.1,1.61,0.55,0.52,0.03,0.3,0.21,0.09,0.94,0.07,0.01,1.39,0.02,0.92,0.1,0.36,0.26,0.07,1.1,2.75,0.11,0.05,0.02,0.47,4.16,0.24,0.39,0.42,0.2,0.04,0.32,0.19,0.01,0.04,0.17,0.01,2.17,0.45,0.19,0.03,0.01,0.66,0.21,1.77,5.64,0.04,0.11,0.05,0.01,0.19,0.16,0.05,0.38,0.03,0.01,0.87,0.03,0.42,0.03,0.3,0.23,0.04,0.72,0.81,0.0,0.05,0.01,0.3,2.35,0.19,0.29,0.39,0.16,0.04,0.25,0.14,0.03,0.05,0.1,0.01,1.45,0.42,0.13,0.04,0.03,0.48,0.19,1.21,3.79,0.04,0.14,0.03,,,2025-06-01,33.18,95.53,176.05,97.38
2025-07-01,134.22,156.11,119.33,106.2,136.62,101.12,4.03,16568.0,3.83,8144,136.99,102.86,78.15,100.78,159.54,132.01,0.39,0.04,1.92,0.48,0.11,1.2,0.72,0.36,0.02,0.12,0.17,0.1,0.39,0.08,0.0,0.9,0.02,0.66,0.11,0.32,0.1,0.09,0.71,1.62,0.05,0.03,0.13,0.36,1.8,0.24,0.31,0.35,0.1,0.16,0.11,0.09,0.01,0.1,0.11,0.02,1.39,0.21,0.12,0.14,0.01,0.36,0.11,1.21,3.17,0.05,0.1,0.06,0.0,0.07,0.12,0.04,0.21,0.02,0.0,0.7,0.0,0.44,0.1,0.25,0.05,0.04,0.53,0.72,0.04,0.01,0.06,0.31,1.22,0.09,0.25,0.27,0.06,0.15,0.06,0.09,0.0,0.07,0.06,0.01,0.92,0.14,0.11,0.15,0.0,0.26,0.12,0.76,2.69,0.05,0.07,0.0,,,2025-07-01,-39.3,45.27,173.8,85.48
2025-08-01,138.56,160.42,120.88,119.71,179.55,92.08,4.16,15640.0,4.32,7873,163.31,115.87,84.53,102.26,193.91,148.39,0.53,0.03,2.71,0.42,0.2,1.33,0.32,0.39,0.02,0.22,0.19,0.11,0.45,0.04,0.01,0.81,0.04,0.91,0.06,0.29,0.16,0.27,0.97,1.71,0.07,0.12,0.03,0.47,1.52,0.33,0.28,0.27,0.1,0.03,0.06,0.1,0.02,0.04,0.17,0.03,1.7,0.18,0.11,0.03,0.01,0.25,0.1,1.57,3.39,0.08,0.1,0.09,0.01,0.19,0.14,0.11,0.19,0.04,0.0,0.55,0.05,0.6,0.03,0.3,0.11,0.25,0.8,0.88,0.03,0.09,0.01,0.46,1.04,0.24,0.25,0.15,0.08,0.03,0.05,0.05,0.01,0.01,0.15,0.01,1.28,0.18,0.06,0.04,0.0,0.22,0.09,1.21,2.96,0.1,0.09,0.06,,,2025-08-01,3.23,-1.71,164.64,87.9
2025-09-01,125.87,141.81,114.79,113.95,161.89,91.92,3.78,15310.0,4.11,8101,168.33,106.07,85.25,93.06,234.97,159.94,0.58,0.04,2.17,0.33,0.31,1.21,0.41,0.43,0.01,0.25,0.27,0.09,0.41,0.03,0.0,1.01,0.09,0.68,0.12,0.28,0.19,0.1,0.9,1.44,0.03,0.22,0.05,0.4,1.38,0.32,0.19,0.24,0.19,0.03,0.09,0.12,0.01,0.04,0.46,0.1,1.43,0.25,0.1,0.03,0.02,0.28,0.12,1.2,3.11,0.22,0.08,0.08,0.0,0.15,0.1,0.1,0.2,0.02,0.0,0.62,0.11,0.47,0.09,0.21,0.15,0.07,0.67,0.74,0.01,0.12,0.01,0.23,1.02,0.16,0.2,0.17,0.23,0.0,0.1,0.1,0.01,0.05,0.28,0.06,0.93,0.2,0.09,0.04,0.02,0.26,0.09,0.77,2.74,0.3,0.11,0.07,,,2025-09-01,-9.16,-3.44,132.88,82.06
2025-10-01,154.51,168.0,151.55,132.36,165.64,122.54,4.63,15989.0,4.77,8210,178.21,118.42,91.19,106.61,236.2,171.55,0.58,0.1,2.25,0.29,0.35,1.34,0.6,0.77,0.04,0.21,0.26,0.13,0.27,0.04,0.03,0.94,0.29,0.54,0.21,0.57,0.18,0.05,0.57,1.41,0.12,0.31,0.08,0.29,1.49,0.18,0.29,0.33,0.29,0.1,0.15,0.18,0.02,0.05,0.28,0.02,1.51,0.23,0.14,0.11,0.02,0.51,0.19,1.21,3.75,0.53,0.04,0.1,0.02,0.13,0.17,0.11,0.09,0.0,0.04,0.63,0.35,0.23,0.11,0.33,0.16,0.0,0.35,0.45,0.06,0.27,0.04,0.22,0.91,0.1,0.19,0.3,0.33,0.12,0.1,0.1,0.01,0.06,0.16,0.0,0.85,0.12,0.05,0.07,0.01,0.29,0.17,0.76,3.2,0.62,0.02,0.09,,,2025-10-01,22.76,18.23,139.65,92.94
2025-11-01,104.34,118.68,88.69,90.52,119.1,77.96,3.13,15913.0,3.27,7717,133.55,95.64,70.88,89.74,184.78,133.71,0.45,0.04,1.71,0.25,0.18,0.79,0.31,0.63,0.04,0.07,0.23,0.09,0.3,0.08,0.02,0.65,0.22,0.55,0.06,0.19,0.16,0.04,0.55,1.0,0.04,0.11,0.09,0.19,0.58,0.11,0.16,0.2,0.23,0.04,0.06,0.12,0.01,0.03,0.25,0.04,1.29,0.2,0.06,0.04,0.01,0.31,0.14,0.99,2.66,0.46,0.05,0.25,0.04,0.04,0.1,0.06,0.18,0.03,0.01,0.51,0.26,0.32,0.05,0.18,0.17,0.03,0.39,0.41,0.04,0.06,0.08,0.22,0.4,0.08,0.12,0.21,0.23,0.03,0.03,0.08,0.03,0.05,0.06,0.04,0.88,0.18,0.03,0.04,0.0,0.19,0.13,0.52,2.16,0.51,0.08,0.09,,,2025-11-01,-32.47,-19.06,128.24,66.53
2025-12-01,130.96,144.91,121.79,112.33,142.11,99.59,3.93,15250.0,4.05,7527,150.71,111.45,82.47,95.55,218.36,170.89,0.52,0.08,2.02,0.2,0.27,0.89,0.4,0.97,0.08,0.42,0.3,0.09,0.19,0.05,0.03,1.0,0.16,0.7,0.11,0.16,0.08,0.1,0.67,1.29,0.14,0.14,0.03,0.31,0.66,0.15,0.26,0.2,0.1,0.07,0.14,0.19,0.01,0.14,0.24,0.01,1.67,0.15,0.15,0.1,0.01,0.24,0.26,1.35,3.22,0.71,0.03,0.04,0.05,0.21,0.16,0.12,0.08,0.04,0.03,0.81,0.15,0.5,0.07,0.07,0.04,0.07,0.56,0.53,0.05,0.09,0.03,0.2,0.44,0.19,0.2,0.15,0.08,0.08,0.12,0.15,0.01,0.09,0.27,0.0,1.22,0.16,0.12,0.13,0.0,0.16,0.23,0.88,2.87,0.57,0.04,0.04,,,2025-12-01,25.51,-8.01,129.94,84.07
2026-01-01,168.63,220.17,100.22,128.07,198.12,70.97,5.06,16074.0,4.62,7922,159.57,128.76,96.79,122.4,227.16,182.66,0.96,0.03,2.68,0.45,0.15,0.61,0.42,0.56,0.16,0.11,0.21,0.18,0.67,0.41,0.12,1.51,0.34,0.67,0.52,0.2,0.23,0.11,0.93,1.89,0.09,0.11,0.07,0.33,1.16,0.27,0.32,0.21,0.34,0.05,0.14,0.47,0.05,0.05,0.19,0.02,1.9,0.34,0.15,0.04,0.02,0.37,0.2,1.19,4.57,1.93,0.02,0.07,0.15,0.1,0.14,0.16,0.28,0.38,0.05,1.02,0.25,0.54,0.34,0.15,0.19,0.09,0.67,0.76,0.05,0.09,0.1,0.34,0.81,0.24,0.21,0.14,0.33,0.06,0.1,0.25,0.06,0.06,0.16,0.03,1.31,0.24,0.1,0.08,0.03,0.3,0.15,0.86,3.4,1.44,0.01,0.01,,,2026-01-01,28.77,48.92,134.64,95.16
2026-02-01,120.75,157.47,81.68,108.26,159.08,74.48,3.62,15159.0,3.91,6555,144.91,115.89,77.22,103.01,197.72,136.05,0.85,0.05,1.98,0.87,0.11,0.88,0.46,0.31,0.09,0.16,0.09,0.09,0.41,0.18,0.02,0.88,0.05,0.45,0.14,0.23,0.13,0.06,0.56,1.18,0.05,0.09,0.04,0.44,1.13,0.14,0.2,0.23,0.28,0.03,0.09,0.09,0.01,0.04,0.13,0.01,1.29,0.32,0.11,0.05,0.0,0.37,0.13,0.89,3.1,0.56,0.06,0.05,0.12,0.15,0.06,0.12,0.21,0.21,0.03,0.55,0.08,0.34,0.2,0.32,0.18,0.05,0.58,0.49,0.02,0.11,0.08,0.35,0.98,0.08,0.18,0.23,0.31,0.03,0.08,0.06,0.0,0.02,0.11,0.02,0.93,0.31,0.09,0.08,0.0,0.32,0.15,0.72,2.87,0.67,0.11,0.02,,,2026-02-01,-28.4,-11.85,140.11,80.04
2026-03-01,326.99,316.38,445.25,251.25,281.6,312.62,9.81,17313.0,9.06,7635,293.58,264.6,119.34,174.04,411.4,348.09,1.87,0.05,3.06,0.98,0.28,5.62,0.9,0.52,0.05,0.5,0.45,0.18,0.8,0.18,0.03,1.69,0.12,1.41,0.2,0.62,0.5,0.09,1.93,3.9,0.17,0.14,0.11,1.01,6.31,0.59,0.94,0.78,0.24,0.06,0.25,0.32,0.03,0.12,0.16,0.02,2.48,2.21,0.13,0.2,0.0,0.8,0.34,2.02,8.59,1.02,0.26,0.07,0.03,0.24,0.35,0.12,0.39,0.09,0.03,1.55,0.14,0.79,0.18,0.48,0.18,0.09,1.39,1.35,0.14,0.13,0.16,0.88,4.86,0.37,0.96,0.67,0.29,0.09,0.18,0.26,0.01,0.12,0.13,0.04,2.03,1.9,0.07,0.26,0.0,0.58,0.37,1.51,7.02,1.07,0.3,0.04,,,2026-03-01,170.81,87.8,205.45,98.99
2026-04-01,230.77,252.26,285.35,211.48,261.74,242.14,6.92,14534.0,7.63,7393,245.08,176.66,118.89,122.17,328.65,264.57,1.33,0.07,3.58,1.15,0.27,4.17,0.57,0.49,0.06,0.26,0.18,0.08,0.62,0.11,0.03,1.51,0.07,0.8,0.15,0.43,0.34,0.09,1.15,2.35,0.14,0.2,0.07,0.58,3.58,0.42,0.49,0.51,0.16,0.03,0.15,0.17,0.03,0.18,0.14,0.05,1.71,0.81,0.11,0.11,0.03,0.39,0.25,1.29,6.33,0.39,0.21,0.12,0.05,0.16,0.14,0.09,0.23,0.12,0.03,1.31,0.11,0.57,0.08,0.41,0.24,0.0,0.99,1.24,0.2,0.18,0.08,0.64,3.44,0.34,0.47,0.54,0.12,0.01,0.07,0.12,0.07,0.16,0.14,0.05,1.7,0.78,0.04,0.08,0.04,0.35,0.31,1.14,5.86,0.43,0.18,0.09,,,2026-04-01,-29.43,63.7,226.17,97.58
